"","ID","year","TL","sex","island_ID","survival","age","first_year","last_year","brood_ID","min_lifespan_years","recruits","tarsres"
"147",452,2007,0.7,1,27,0,9,1998,2007,"1998.27.B.25.A.2",9,1,2.725310486
"148",454,1999,0.62,2,27,0,1,1998,1999,"1998.27.B.25.A.2",1,0,0.54533175
"149",462,1999,0.69,1,27,0,1,1998,1999,"1998.27.B.41.B.1",1,0,0.852324444
"150",468,1999,0.585,1,27,0,1,1998,1999,"1998.27.B.52.A.1",1,0,-0.674689514
"151",470,1999,0.77,2,27,0,1,1998,1999,"1998.27.A.15.A.3",1,0,-1.302141072
"152",472,1999,0.63,1,27,0,1,1998,1999,"1998.27.B.51.A.1",1,0,0.052324444
"153",477,1999,0.86,1,27,1,1,1998,2000,"1998.27.B.26.A.2",2,0,-0.827686869
"154",477,2000,0.86,1,27,0,2,1998,2000,"1998.27.B.26.A.2",2,1,-0.827686869
"155",481,1999,0.8,1,27,0,1,1998,1999,"1998.27.B.35.A.2",1,1,0.552324444
"156",482,1999,0.68,2,27,1,1,1998,2001,"1998.27.B.35.A.2",3,0,0.776956464
"157",482,2000,0.68,2,27,1,2,1998,2001,"1998.27.B.35.A.2",3,1,0.776956464
"158",482,2001,0.68,2,27,0,3,1998,2001,"1998.27.B.35.A.2",3,1,0.776956464
"159",483,1999,0.68,2,27,0,1,1998,1999,"1998.27.B.35.A.2",1,0,0.276956464
"160",485,1999,0.64,2,27,0,1,1998,1999,"1998.27.A.28.A.2",1,0,-0.25466825
"161",487,2000,0.86,1,27,1,1,1999,2001,"1999.27.A.31.A.1",2,0,-0.327686869
"162",487,2001,0.86,1,27,0,2,1999,2001,"1999.27.A.31.A.1",2,0,-0.327686869
"163",498,2000,0.87,1,27,0,1,1999,2000,"1999.27.B.39.A.1",1,0,-0.020318078
"164",499,2000,1.06,2,27,1,1,1999,2001,"1999.27.B.23.A.2",2,0,1.076956464
"165",499,2001,1.06,2,27,0,2,1999,2001,"1999.27.B.23.A.2",2,0,1.076956464
"166",500,2000,1.4,2,27,1,1,1999,2003,"1999.27.B.23.A.2",4,0,1.176956464
"167",500,2001,1.4,2,27,1,2,1999,2003,"1999.27.B.23.A.2",4,0,1.176956464
"168",500,2002,1.4,2,27,1,3,1999,2003,"1999.27.B.23.A.2",4,0,1.176956464
"169",500,2003,1.4,2,27,0,4,1999,2003,"1999.27.B.23.A.2",4,0,1.176956464
"170",501,2000,1.13,2,27,1,1,1999,2002,"1999.27.B.23.A.2",3,0,0.676956464
"171",501,2001,1.13,2,27,1,2,1999,2002,"1999.27.B.23.A.2",3,0,0.676956464
"172",501,2002,1.13,2,27,0,3,1999,2002,"1999.27.B.23.A.2",3,0,0.676956464
"173",502,2000,1.03,2,27,0,1,1999,2000,"1999.27.B.41.A.1",1,0,1.134537996
"174",507,2000,0.81,1,27,0,1,1999,2000,"1999.27.B.47.A.1",1,0,-1.474689514
"175",511,2000,1.02,2,27,0,1,1999,2000,"1999.27.B.45.A.1",1,0,-1.402141072
"176",514,2000,1.05,1,27,1,1,1999,2001,"1999.27.A.31.A.2",2,0,-1.274689514
"177",514,2001,1.05,1,27,0,2,1999,2001,"1999.27.A.31.A.2",2,0,-1.274689514
"178",538,2000,0.86,2,27,0,1,1999,2000,"1999.27.B.90.A.1",1,0,-0.30726693
"179",544,2001,1.37,1,27,1,1,2000,2002,"2000.27.B.20.A.1",2,0,0.798640048
"180",544,2002,1.37,1,27,0,2,2000,2002,"2000.27.B.20.A.1",2,0,0.798640048
"181",545,2001,1.01,1,27,0,1,2000,2001,"2000.27.B.21.A.1",1,1,-1.474689514
"182",548,2001,1.14,2,27,1,1,2000,2002,"2000.27.A.17.A.1",2,0,1.14533175
"183",548,2002,1.14,2,27,0,2,2000,2002,"2000.27.A.17.A.1",2,1,1.14533175
"184",549,2001,1.26,2,27,0,1,2000,2001,"2000.27.A.17.A.1",1,0,0.44533175
"185",552,2001,1.05,2,27,0,1,2000,2001,"2000.27.B.43.A.1",1,0,0.476956464
"186",573,2002,1.07,1,27,1,1,2001,2003,"2001.27.B.91.A.1",2,0,1.198640048
"187",573,2003,1.07,1,27,0,2,2001,2003,"2001.27.B.91.A.1",2,0,1.198640048
"188",576,2002,1.24,1,27,1,1,2001,2003,"2001.27.B.91.A.1",2,1,1.398640048
"189",576,2003,1.24,1,27,0,2,2001,2003,"2001.27.B.91.A.1",2,0,1.398640048
"190",586,2001,0.91,2,27,1,1,2000,2004,"2000.27.B.7.A.2",4,0,-1.002141072
"191",586,2002,0.91,2,27,1,2,2000,2004,"2000.27.B.7.A.2",4,0,-1.002141072
"192",586,2003,0.91,2,27,1,3,2000,2004,"2000.27.B.7.A.2",4,0,-1.002141072
"193",586,2004,0.91,2,27,0,4,2000,2004,"2000.27.B.7.A.2",4,0,-1.002141072
"194",590,2001,0.87,1,27,0,1,2000,2001,"2000.27.A.53.A.2",1,1,0.952324444
"195",606,2001,0.76,2,27,1,1,2000,2002,"2000.27.A.24.A.2",2,0,2.476956464
"196",606,2002,0.76,2,27,0,2,2000,2002,"2000.27.A.24.A.2",2,0,2.476956464
"197",607,2001,0.74,2,27,0,1,2000,2001,"2000.27.A.24.A.2",1,0,1.076956464
"198",612,2001,1.15,1,27,0,1,2000,2001,"2000.27.A.1.A.1",1,0,1.025310486
"199",618,2001,0.82,2,27,1,1,2000,2003,"2000.27.A.23.A.2",3,1,-1.344631044
"200",618,2002,0.82,2,27,1,2,2000,2003,"2000.27.A.23.A.2",3,1,-1.344631044
"201",618,2003,0.82,2,27,0,3,2000,2003,"2000.27.A.23.A.2",3,0,-1.344631044
"202",619,2001,0.9,2,27,1,1,2000,2003,"2000.27.A.23.A.2",3,0,-1.344631044
"203",619,2002,0.9,2,27,1,2,2000,2003,"2000.27.A.23.A.2",3,2,-1.344631044
"204",619,2003,0.9,2,27,0,3,2000,2003,"2000.27.A.23.A.2",3,2,-1.344631044
