ID;year;date;TL;pop_size_meancentered;island_name;island_ID;brood_ID;sampling_age_days;clutch_size;sex;tarsus;mass;tarsus_agecorrected;condition;hatch_date;hatchday_meancentered;firstyear_survival;min_lifespan_days;censored;dispersal
2071;2011;25.05.2011;0.88;0.318181818;traena;23;2011.23.A.318.A.1;10;5;1;18.14;27;-0.047845495;2.49330488;15.05.2011;-33.33394028;0;10;2;0
2072;2011;25.05.2011;0.74;0.318181818;traena;23;2011.23.A.362.A.1;11;5;2;18.76;28;0.370069768;2.007510425;14.05.2011;-34.33394028;0;200;2;0
2073;2011;26.05.2011;1.15;0.318181818;traena;23;2011.23.A.258.A.1;9;5;1;14.35;15.4;-3.398964321;-0.078361825;17.05.2011;-31.33394028;0;199;2;0
2074;2011;26.05.2011;0.93;0.318181818;traena;23;2011.23.A.258.A.1;9;5;1;17;23.1;-0.748964321;1.318745018;17.05.2011;-31.33394028;0;123;2;0
2075;2011;24.07.2011;0.82;0.318181818;traena;23;2011.23.A.283.A.2;12;5;2;20.41;29.6;1.746935774;-0.35876243;12.07.2011;24.66605972;0;12;2;0
2076;2011;26.07.2011;1.14;0.318181818;traena;23;2011.23.A.275.A.3;10;3;1;17.97;23.5;-0.217845495;-0.599735251;16.07.2011;28.66605972;0;13;2;0
2077;2011;26.07.2011;1.04;0.318181818;traena;23;2011.23.A.275.A.3;10;3;2;18.58;23.8;0.548066027;-1.760873138;16.07.2011;28.66605972;0;13;2;0
2078;2011;26.07.2011;0.87;0.318181818;traena;23;2011.23.A.275.A.3;10;3;2;18.37;23.7;0.338066027;-1.357586138;16.07.2011;28.66605972;0;13;2;0
2079;2011;30.06.2011;0.97;121.5;hestmannoey;27;2011.27.B.29.A.2;10;4;2;18.69;26.7;0.53533175;0.875386224;20.06.2011;2.666059723;0;68;2;0
2080;2011;26.06.2011;0.88;121.5;hestmannoey;27;2011.27.B.190.A.2;7;5;1;NA;NA;NA;NA;19.06.2011;1.666059723;0;7;2;0
2081;2011;30.06.2011;0.89;121.5;hestmannoey;27;2011.27.B.190.A.2;11;5;2;19.64;30.3;1.116956464;2.194361599;19.06.2011;1.666059723;0;75;2;0
2082;2011;26.06.2011;0.95;121.5;hestmannoey;27;2011.27.B.143.A.1;8;6;2;NA;NA;NA;NA;18.06.2011;0.666059723;0;8;2;0
2083;2011;30.06.2011;0.54;121.5;hestmannoey;27;2011.27.B.143.A.1;12;6;2;16.35;21.4;-2.45726693;1.16895212;18.06.2011;0.666059723;0;12;2;0
2084;2011;30.06.2011;0.7;121.5;hestmannoey;27;2011.27.B.143.A.1;12;6;2;17.98;27;-0.82726693;2.87633112;18.06.2011;0.666059723;0;43;2;0
2085;2011;30.06.2011;1.01;121.5;hestmannoey;27;2011.27.B.220.A.1;11;3;2;19.92;29.3;1.396956464;0.520943101;19.06.2011;1.666059723;1;1091;2;1
2086;2011;30.06.2011;0.85;121.5;hestmannoey;27;2011.27.B.220.A.1;11;3;1;19.63;28.9;1.082324444;0.818402858;19.06.2011;1.666059723;0;24;2;0
2087;2011;30.06.2011;0.98;121.5;hestmannoey;27;2011.27.B.220.A.1;11;3;2;19;27.7;0.476956464;1.131695061;19.06.2011;1.666059723;0;87;2;0
2088;2011;03.07.2011;0.88;121.5;hestmannoey;27;2011.27.B.75.A.1;12;4;1;20.38;30.7;1.559681922;0.813509177;21.06.2011;3.666059723;0;12;2;0
2089;2011;03.07.2011;0.85;121.5;hestmannoey;27;2011.27.B.75.A.1;12;4;2;20.54;29.7;1.73273307;-0.572006825;21.06.2011;3.666059723;1;755;2;0
2090;2011;03.07.2011;0.78;121.5;hestmannoey;27;2011.27.B.75.A.1;12;4;1;21.42;33.9;2.599681922;1.504688194;21.06.2011;3.666059723;0;12;2;0
2091;2011;03.07.2011;0.73;121.5;hestmannoey;27;2011.27.B.194.A.2;11;5;1;19.99;33.3;1.442324444;4.352509051;22.06.2011;4.666059723;1;1203;2;0
2092;2011;03.07.2011;1.04;121.5;hestmannoey;27;2011.27.B.194.A.2;11;5;1;20.22;32.1;1.672324444;2.598859196;22.06.2011;4.666059723;0;92;2;0
2093;2011;03.07.2011;0.81;121.5;hestmannoey;27;2011.27.B.194.A.2;11;5;2;20.15;31.7;1.626956464;2.367397634;22.06.2011;4.666059723;1;3020;1;1
2094;2011;03.07.2011;0.89;121.5;hestmannoey;27;2011.27.B.194.A.2;11;5;1;20.27;33;1.722324444;3.378455145;22.06.2011;4.666059723;0;38;2;0
2095;2011;03.07.2011;0.71;121.5;hestmannoey;27;2011.27.B.194.A.2;11;5;1;20.87;33.5;2.322324444;2.432342208;22.06.2011;4.666059723;0;46;2;0
2096;2011;03.07.2011;0.87;121.5;hestmannoey;27;2011.27.B.243.A.1;9;6;NA;18.97;27;1.150056237;0.503692406;24.06.2011;6.666059723;0;9;2;0
2097;2011;03.07.2011;0.88;121.5;hestmannoey;27;2011.27.B.243.A.1;9;6;1;18.36;27.1;0.658640048;2.066372778;24.06.2011;6.666059723;0;9;2;0
2098;2011;03.07.2011;0.76;121.5;hestmannoey;27;2011.27.B.243.A.1;9;6;2;17.24;21.1;-0.462141072;-1.254331608;24.06.2011;6.666059723;0;9;2;0
2099;2011;03.07.2011;0.95;121.5;hestmannoey;27;2011.27.B.243.A.1;9;6;NA;16.35;19.8;-1.469943763;-0.43104788;24.06.2011;6.666059723;0;9;2;0
2100;2011;03.07.2011;1.03;121.5;hestmannoey;27;2011.27.B.90.A.1;8;5;1;15.62;19.6;-1.507686869;1.106688075;25.06.2011;7.666059723;0;80;2;0
2101;2011;03.07.2011;0.97;121.5;hestmannoey;27;2011.27.B.90.A.1;8;5;1;15.96;27.1;-1.167686869;7.797761476;25.06.2011;7.666059723;0;24;2;0
2102;2011;03.07.2011;0.87;121.5;hestmannoey;27;2011.27.B.90.A.1;8;5;2;15.38;19.6;-1.785462004;1.677243816;25.06.2011;7.666059723;0;8;2;0
2103;2011;03.07.2011;0.91;121.5;hestmannoey;27;2011.27.B.90.A.1;8;5;2;15.38;18.4;-1.785462004;0.477243816;25.06.2011;7.666059723;0;8;2;0
2104;2011;03.07.2011;0.88;121.5;hestmannoey;27;2011.27.B.249.A.3;9;6;2;17.79;25.2;0.087858928;1.530959196;24.06.2011;6.666059723;0;9;2;0
2105;2011;03.07.2011;1.42;121.5;hestmannoey;27;2011.27.B.249.A.3;9;6;2;16.91;23.6;-0.792141072;2.033552469;24.06.2011;6.666059723;0;9;2;0
2106;2011;03.07.2011;0.85;121.5;hestmannoey;27;2011.27.B.249.A.3;9;6;2;18.6;25.9;0.897858928;0.291179854;24.06.2011;6.666059723;0;9;2;0
2107;2011;03.07.2011;1.21;121.5;hestmannoey;27;2011.27.B.249.A.3;9;6;2;18.36;26.9;0.657858928;1.866372778;24.06.2011;6.666059723;0;9;2;0
2108;2011;09.07.2011;0.9;121.5;hestmannoey;27;2011.27.A.482.A.2;12;4;2;19.73;30.1;0.92273307;1.777961089;27.06.2011;9.666059723;0;41;2;0
2109;2011;09.07.2011;1.14;121.5;hestmannoey;27;2011.27.A.482.A.2;12;4;2;19.82;28.9;1.01273307;0.361508061;27.06.2011;9.666059723;0;12;2;0
2110;2011;09.07.2011;0.87;121.5;hestmannoey;27;2011.27.A.173.A.2;12;6;2;20.11;28.2;1.30273307;-1.03630895;27.06.2011;9.666059723;0;12;2;0
2111;2011;09.07.2011;1.06;121.5;hestmannoey;27;2011.27.A.173.A.2;12;6;1;20.65;25.1;1.829681922;-5.437145361;27.06.2011;9.666059723;0;12;2;0
2112;2011;09.07.2011;0.98;121.5;hestmannoey;27;2011.27.A.173.A.2;12;6;2;20.18;27.2;1.37273307;-2.204829235;27.06.2011;9.666059723;1;398;2;0
2113;2011;09.07.2011;1.05;121.5;hestmannoey;27;2011.27.A.173.A.2;12;6;1;20.31;29;1.489681922;-0.717879766;27.06.2011;9.666059723;1;1603;2;0
2114;2011;09.07.2011;0.84;121.5;hestmannoey;27;2011.27.B.31.B.1;12;5;2;19.12;29.4;0.31273307;2.54364733;27.06.2011;9.666059723;0;62;2;0
2115;2011;02.07.2011;0.8;121.5;hestmannoey;27;2011.27.B.31.B.1;5;5;1;NA;NA;NA;NA;27.06.2011;9.666059723;0;5;2;0
2116;2011;03.07.2011;0.91;121.5;hestmannoey;27;2011.27.B.216.A.2;10;6;1;16.4;26.9;-1.774689514;6.549802676;23.06.2011;5.666059723;0;81;2;0
2117;2011;03.07.2011;0.8;121.5;hestmannoey;27;2011.27.B.216.A.2;10;6;1;15.68;19.9;-2.494689514;1.263990785;23.06.2011;5.666059723;0;56;2;0
2118;2011;03.07.2011;0.86;121.5;hestmannoey;27;2011.27.B.216.A.2;10;6;1;16.86;24.8;-1.314689514;3.352867249;23.06.2011;5.666059723;0;52;2;0
2119;2011;03.07.2011;0.93;121.5;hestmannoey;27;2011.27.B.216.A.2;10;6;2;15.02;19.4;-3.13466825;2.332377183;23.06.2011;5.666059723;0;10;2;0
2120;2011;03.07.2011;0.98;121.5;hestmannoey;27;2011.27.B.245.A.1;14;4;1;19.66;28.8;0.59542744;0.646277135;19.06.2011;1.666059723;1;850;2;0
2121;2011;03.07.2011;0.88;121.5;hestmannoey;27;2011.27.B.245.A.1;14;4;2;19.93;28.3;0.806741954;-0.503116961;19.06.2011;1.666059723;0;87;2;0
2122;2011;03.07.2011;0.85;121.5;hestmannoey;27;2011.27.B.75.A.1;12;4;1;15.92;15.3;-2.900318078;-3.907031787;21.06.2011;3.666059723;0;12;2;0
2123;2011;03.07.2011;1.13;121.5;hestmannoey;27;2011.27.B.242.A.1;8;7;1;15.21;21.2;-1.917686869;3.681161508;25.06.2011;7.666059723;0;8;2;0
2124;2011;03.07.2011;0.86;121.5;hestmannoey;27;2011.27.B.242.A.1;8;7;1;16.72;20.8;-0.407686869;-0.313137602;25.06.2011;7.666059723;0;8;2;0
2125;2011;03.07.2011;0.91;121.5;hestmannoey;27;2011.27.B.242.A.1;8;7;2;16.28;21;-0.885462004;0.93573411;25.06.2011;7.666059723;0;8;2;0
2126;2011;03.07.2011;1.13;121.5;hestmannoey;27;2011.27.B.242.A.1;8;7;1;16.47;17.3;-0.657686869;-3.217033777;25.06.2011;7.666059723;0;8;2;0
2127;2011;03.07.2011;1.09;121.5;hestmannoey;27;2011.27.B.242.A.1;8;7;2;15.9;19.4;-1.265462004;0.240567692;25.06.2011;7.666059723;0;8;2;0
2128;2011;03.07.2011;0.99;121.5;hestmannoey;27;2011.27.B.163.A.2;11;6;1;19.36;32.6;0.812324444;5.16727177;22.06.2011;4.666059723;0;77;2;0
2129;2011;03.07.2011;0.86;121.5;hestmannoey;27;2011.27.B.249.A.3;9;6;1;15.11;18.5;-2.591359952;1.218672619;24.06.2011;6.666059723;0;9;2;0
2130;2011;03.07.2011;1.28;121.5;hestmannoey;27;2011.27.B.129.A.2;5;7;2;NA;NA;NA;NA;28.06.2011;10.66605972;0;5;2;0
2131;2011;03.07.2011;1.29;121.5;hestmannoey;27;2011.27.B.129.A.2;5;7;1;NA;NA;NA;NA;28.06.2011;10.66605972;0;5;2;0
2132;2011;03.07.2011;1.54;121.5;hestmannoey;27;2011.27.B.129.A.2;5;7;2;NA;NA;NA;NA;28.06.2011;10.66605972;0;5;2;0
2133;2011;03.07.2011;1.07;121.5;hestmannoey;27;2011.27.B.129.A.2;5;7;1;NA;NA;NA;NA;28.06.2011;10.66605972;0;5;2;0
2134;2011;03.07.2011;0.92;121.5;hestmannoey;27;2011.27.B.129.A.2;5;7;2;NA;NA;NA;NA;28.06.2011;10.66605972;0;5;2;0
2135;2010;27.05.2010;1.09;4.318181818;traena;23;2010.23.A.310.A.1;12;5;2;16.99;18.3;-1.673064226;-3.457384894;15.05.2010;-33.33394028;0;26;2;0
2136;2010;27.05.2010;0.85;4.318181818;traena;23;2010.23.A.310.A.1;12;5;1;17.72;14.8;-0.936175995;-8.701605252;15.05.2010;-33.33394028;0;26;2;0
2137;2010;27.05.2010;0.69;4.318181818;traena;23;2010.23.A.310.A.1;12;5;2;18.77;24.2;0.106935774;-1.816474425;15.05.2010;-33.33394028;0;12;2;0
2138;2010;27.05.2010;1.32;4.318181818;traena;23;2010.23.A.265.A.1;12;6;1;19.53;26.2;0.873824005;-1.641220211;15.05.2010;-33.33394028;0;66;2;0
2139;2010;27.05.2010;0.8;4.318181818;traena;23;2010.23.A.265.A.1;12;6;1;18.82;25.4;0.163824005;-0.736408404;15.05.2010;-33.33394028;0;12;2;0
2140;2010;27.05.2010;1.1;4.318181818;traena;23;2010.23.A.265.A.1;12;6;2;19.52;26.7;0.856935774;-1.117186084;15.05.2010;-33.33394028;1;484;2;0
2141;2010;27.05.2010;1.42;4.318181818;traena;23;2010.23.A.265.A.1;12;6;1;19.73;27.8;1.073824005;-0.522038911;15.05.2010;-33.33394028;1;489;2;0
2142;2010;30.05.2010;1.26;4.318181818;traena;23;2010.23.A.283.A.1;12;4;2;19.47;27.1;0.806935774;-0.597025174;18.05.2010;-30.33394028;1;1592;2;1
2143;2010;30.05.2010;0.9;4.318181818;traena;23;2010.23.A.283.A.1;12;4;1;19.05;25.8;0.393824005;-0.88831348;18.05.2010;-30.33394028;1;425;2;0
2144;2010;30.05.2010;1.14;4.318181818;traena;23;2010.23.A.283.A.1;12;4;1;19.08;25.2;0.423824005;-1.560326385;18.05.2010;-30.33394028;0;12;2;0
2145;2010;03.06.2010;0.88;4.318181818;traena;23;2010.23.A.262.A.1;11;4;2;18.72;23.9;0.330069768;-1.996556657;23.05.2010;-25.33394028;0;11;2;0
2146;2010;09.06.2010;1.11;4.318181818;traena;23;2010.23.A.361.A.1;11;5;1;18.21;20.8;-0.280249387;-3.874321295;29.05.2010;-19.33394028;0;11;2;0
2147;2010;09.06.2010;0.92;4.318181818;traena;23;2010.23.A.361.A.1;11;5;2;18.57;25.3;0.180069768;-0.236900606;29.05.2010;-19.33394028;1;390;2;0
2148;2010;10.06.2010;1.67;4.318181818;traena;23;2010.23.A.256.A.1;11;4;2;16.21;14.5;-2.179930232;-5.397515671;30.05.2010;-18.33394028;0;11;2;0
2149;2010;10.06.2010;0.85;4.318181818;traena;23;2010.23.A.256.A.1;11;4;1;18.3;17.8;-0.190249387;-7.089887345;30.05.2010;-18.33394028;0;11;2;0
2150;2010;10.06.2010;0.93;4.318181818;traena;23;2010.23.A.256.A.1;11;4;1;17.65;16.4;-0.840249387;-6.93420147;30.05.2010;-18.33394028;0;11;2;0
2151;2010;10.06.2010;1.62;4.318181818;traena;23;2010.23.A.256.A.1;11;4;1;17.32;17;-1.170249387;-5.545440142;30.05.2010;-18.33394028;1;735;2;0
2152;2010;10.06.2010;1.26;4.318181818;traena;23;2010.23.A.273.A.2;12;6;1;18.14;26.4;-0.516175995;1.89330488;29.05.2010;-19.33394028;0;12;2;0
2153;2010;10.06.2010;0.96;4.318181818;traena;23;2010.23.A.273.A.2;12;6;1;17.39;23.2;-1.266175995;0.487305852;29.05.2010;-19.33394028;0;12;2;0
